,position,song,artist,popularity,duration_ms,album_type,release_date
6882,33,BESOS (with Kidd Keo & Neelo),SwaggGlock & Kidd Keo & Neelo,76,172852,single,2023-08-27
6883,34,EL TONTO,Lola Indigo,78,187986,album,2023-04-13
6884,35,COCO LOCO,Maluma,73,166734,album,2023-08-25
6885,36,BUBALU,Feid,67,228253,album,2023-09-29
6886,37,PASAJERO,Mora,82,149538,album,2023-08-28
6887,38,Chulo pt.2,Bad Gyal & Tokischa & Young Miko,90,219333,single,2023-06-22
6888,39,Nochentera,Vicco,78,202184,single,2022-12-19
6889,40,GATITA GANGSTER,KAROL G,77,170920,album,2023-08-10
6890,41,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",Bizarrap & Rauw Alejandro,83,191254,single,2023-06-21
6891,42,CORAZÓN VACÍO,Maria Becerra,87,160535,single,2023-06-22
6892,43,Lollipop,Darell,64,199946,album,2023-07-28
6893,44,WHERE SHE GOES,Bad Bunny,93,231704,single,2023-05-18
6894,45,BESO,ROSALÍA & Rauw Alejandro,90,194543,single,2023-03-24
6895,46,WANDA,Quevedo,82,160909,album,2023-01-20
6896,47,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,89,198937,single,2022-07-06
6897,48,El Jefe,Shakira & Fuerza Regida,85,170297,single,2023-09-20
6899,50,PUNTO G,Quevedo,84,151324,album,2023-01-20
6900,1,Si No Estás,iñigo quintero,83,184061,single,2022-09-23
6901,2,Buenas,Quevedo & Saiko,84,192954,single,2023-09-22
6902,3,REINA,Mora,88,211879,album,2023-08-28
6903,4,Columbia,Quevedo,95,186000,single,2023-07-07
6904,5,Holanda,Jhayco,92,231693,single,2023-07-28
6905,6,LALA,Myke Towers,97,197920,album,2023-03-23
6906,7,UN PREVIEW,Bad Bunny,88,165582,single,2023-09-25
6907,8,POLARIS - Remix,Saiko & Feid & Quevedo,86,288000,single,2023-06-08
6908,9,LUCES DE TECNO,Feid,76,163786,album,2023-09-29
6909,10,MODELITO,Mora,81,190496,album,2022-11-03
6910,11,BABY HELLO,Rauw Alejandro,78,222461,album,2023-07-07
6911,12,COSAS QUE NO TE DIJE,Saiko,79,224725,single,2021-09-17
6912,13,Quien Es Dei V?,Dei V,75,162244,single,2023-03-17
6913,14,QLONA,KAROL G,92,172797,album,2023-08-10
6915,16,Arena y Sal,Omar Montes & Saiko & Tunvao,81,174415,single,2023-05-18
6916,17,VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,87,215600,single,2023-05-12
6917,18,El Merengue,Marshmello & Manuel Turizo,89,189668,single,2023-03-03
6918,19,Antidepresivos,Saiko,78,145384,single,2023-08-03
6919,20,DONDE SE APRENDE A QUERER?,Mora,87,144427,album,2023-08-28
6920,21,Classy 101,Feid & Young Miko,93,195986,single,2023-03-31
6921,22,Eva Longoria,Ozuna,80,199850,album,2023-05-26
6922,23,El Cielo,Sky Rompiendo & Feid & Myke Towers,88,191320,single,2023-06-02
6924,25,FERXXO 151,Feid,69,195320,album,2023-09-29
6925,26,Supernova,Saiko,78,190909,single,2023-04-19
6926,27,Clavaito,Chanel & Abraham Mateo,79,162740,single,2023-04-27
6927,28,A 300,JC Reyes & Pedro Calderon,76,169208,single,2023-02-17
6928,29,No_se_ve.mp3,Emilia & LUDMILLA & ZECCA,85,203636,single,2023-05-03
6929,30,Madrid City,Ana Mena,65,172727,single,2023-09-29
6930,31,PLAYA DEL INGLÉS,Quevedo,81,237525,album,2023-01-20
6931,32,La Bachata,Manuel Turizo,85,162637,album,2023-03-17
